Output data for Rhombohedral II structure, Space-Group Number between 143 and 148: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C15(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
100.0000       6.0895         19.0000        5.6899         550.3335       217.6097       168.5594       -10.1439       35.1097        453.5477       137.6092       295.9635       291.2410       293.6023       154.9485       145.7998       150.3742       395.7771       374.8479       385.3366       0.2813         0.5122         14.1668        0.0304         0.3300         9.3187         7.1833         295.3549       
100.0000       6.0678         20.0000        5.7102         555.2795       220.9535       172.4124       -9.8761        35.5190        457.9012       139.1915       300.0019       295.2815       297.6417       155.9547       146.8511       151.4029       398.7652       377.9059       388.3591       0.2825         0.5087         14.0979        0.0301         0.3259         9.3529         7.2197         296.2343       
100.0000       6.0474         21.0000        5.7295         560.1876       224.2997       176.2548       -9.6073        35.9191        462.1951       140.7458       304.0210       299.2999       301.6605       156.9379       147.8744       152.4061       401.6944       380.8941       391.3174       0.2838         0.5052         14.0280        0.0297         0.3222         9.3871         7.2560         297.0935       
100.0000       6.0270         22.0000        5.7489         565.0578       227.6483       180.0865       -9.3376        36.3101        466.4293       142.2721       308.0209       303.2963       305.6586       157.8980       148.8701       153.3841       404.5646       383.8132       394.2117       0.2850         0.5018         13.9569        0.0294         0.3188         9.4203         7.2916         297.9232       
100.0000       6.0065         23.0000        5.7685         569.8900       230.9993       183.9076       -9.0670        36.6919        470.6038       143.7704       312.0014       307.2706       309.6360       158.8352       149.8383       154.3368       407.3759       386.6638       397.0423       0.2863         0.4984         13.8849        0.0291         0.3156         9.4526         7.3265         298.7238       
100.0000       5.9861         24.0000        5.7882         574.6843       234.3526       187.7180       -8.7955        37.0647        474.7187       145.2407       315.9627       311.2228       313.5928       159.7494       150.7795       155.2644       410.1284       389.4463       399.8094       0.2875         0.4951         13.8118        0.0289         0.3127         9.4839         7.3606         299.4958       
100.0000       5.9657         25.0000        5.8080         579.4407       237.7084       191.5178       -8.5231        37.4283        478.7739       146.6830       319.9048       315.1531       317.5289       160.6405       151.6938       156.1672       412.8219       392.1613       402.5134       0.2887         0.4918         13.7376        0.0286         0.3100         9.5143         7.3940         300.2397       
100.0000       5.9477         26.0000        5.8256         584.1595       241.0665       195.3069       -8.2498        37.7828        482.7696       148.0974       323.8277       319.0614       321.4446       161.5088       152.5815       157.0452       415.4568       394.8093       405.1546       0.2899         0.4886         13.6625        0.0284         0.3075         9.5458         7.4282         300.9759       
100.0000       5.9297         27.0000        5.8433         588.8404       244.4271       199.0855       -7.9755        38.1282        486.7057       149.4838       327.7314       322.9477       325.3395       162.3541       153.4429       157.8985       418.0328       397.3909       407.7331       0.2911         0.4853         13.5863        0.0282         0.3052         9.5764         7.4618         301.6849       
100.0000       5.9117         28.0000        5.8611         593.4835       247.7900       202.8534       -7.7004        38.4644        490.5823       150.8422       331.6159       326.8119       329.2139       163.1764       154.2780       158.7272       420.5500       399.9062       410.2491       0.2923         0.4821         13.5091        0.0280         0.3031         9.6062         7.4946         302.3670       
100.0000       5.8936         29.0000        5.8790         598.0888       251.1554       206.6107       -7.4243        38.7916        494.3992       152.1727       335.4811       330.6542       333.0677       163.9758       155.0873       159.5315       423.0083       402.3559       412.7029       0.2935         0.4790         13.4309        0.0279         0.3012         9.6351         7.5269         303.0226       
100.0000       5.8756         30.0000        5.8970         602.6563       254.5231       210.3574       -7.1473        39.1097        498.1567       153.4753       339.3272       334.4743       336.9008       164.7522       155.8707       160.3115       425.4078       404.7402       415.0946       0.2947         0.4758         13.3518        0.0277         0.2994         9.6632         7.5585         303.6519       
200.0000       6.5966         0.0000         5.2525         443.9987       153.2311       91.4748        -15.2221       24.4909        355.2833       100.0572       212.8491       207.5072       210.1782       129.5730       118.1328       123.8529       323.1465       297.8725       310.5573       0.2537         0.5893         15.0573        0.0462         0.5100         8.4531         6.3257         270.7449       
200.0000       6.5660         1.0000         5.2770         449.7950       156.5491       95.5583        -14.9719       25.0933        360.8765       102.2241       217.3109       212.0311       214.6710       131.0676       119.8681       125.4679       327.3840       302.5842       315.0290       0.2554         0.5845         15.0210        0.0446         0.4921         8.5078         6.3781         272.3477       
200.0000       6.5355         2.0000         5.3016         455.5494       159.8687       99.6302        -14.7209       25.6858        366.4069       104.3614       221.7515       216.5301       219.1408       132.5378       121.5618       127.0498       331.5575       307.1977       319.4200       0.2571         0.5798         14.9828        0.0432         0.4756         8.5608         6.4292         273.8998       
200.0000       6.5050         3.0000         5.3265         461.2624       163.1900       103.6904       -14.4690       26.2686        371.8747       106.4693       226.1713       221.0046       223.5879       133.9835       123.2150       128.5993       335.6676       311.7155       323.7317       0.2587         0.5752         14.9427        0.0419         0.4604         8.6121         6.4789         275.4029       
200.0000       6.4745         4.0000         5.3516         466.9341       166.5131       107.7392       -14.2162       26.8417        377.2801       108.5477       230.5701       225.4547       228.0124       135.4050       124.8288       130.1169       339.7145       316.1401       327.9654       0.2603         0.5707         14.9009        0.0406         0.4463         8.6617         6.5274         276.8586       
200.0000       6.4440         5.0000         5.3769         472.5648       169.8380       111.7764       -13.9625       27.4051        382.6232       110.5969       234.9482       229.8805       232.4144       136.8022       126.4044       131.6033       343.6987       320.4735       332.1224       0.2618         0.5662         14.8573        0.0395         0.4333         8.7097         6.5745         278.2683       
