The SAM model uses the reference state from grossular.dat at T = 0.000000       K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
600.0000       13.0000        9.7269         402.4139       133.4903       108.1003       223.2092       117.9276       300.8768       
600.0000       14.0000        9.6770         408.6229       136.7768       108.8319       227.4671       118.9227       303.8875       
600.0000       15.0000        9.6293         414.7587       140.0708       109.5479       231.7056       119.8931       306.8315       
600.0000       16.0000        9.5877         420.8228       143.3728       110.2485       235.9254       120.8391       309.7100       
600.0000       17.0000        9.5426         426.8119       146.6815       110.9331       240.1249       121.7600       312.5212       
600.0000       18.0000        9.5159         432.7338       149.9999       111.6032       244.3083       122.6578       315.2701       
600.0000       19.0000        9.4751         438.5774       153.3236       112.2567       248.4693       123.5299       317.9502       
600.0000       20.0000        9.4394         444.3496       156.6553       112.8949       252.6118       124.3779       320.5658       
600.0000       21.0000        9.4031         450.0486       159.9941       113.5176       256.7347       125.2015       323.1159       
600.0000       22.0000        9.3637         455.6737       163.3398       114.1245       260.8375       126.0007       325.6005       
600.0000       23.0000        9.3310         461.2283       166.6937       114.7164       264.9223       126.7761       328.0215       
600.0000       24.0000        9.2958         466.7095       170.0546       115.2928       268.9874       127.5273       330.3776       
600.0000       25.0000        9.2540         472.1164       173.4219       115.8534       273.0319       128.2540       332.6682       
700.0000       0.0000         10.4402        310.2995       90.1927        96.1069        163.7025       101.3876       252.1657       
700.0000       1.0000         10.3834        317.5812       93.3889        97.0783        168.2565       102.7555       256.1846       
700.0000       2.0000         10.3282        324.7839       96.5919        98.0325        172.7888       104.0956       260.1261       
700.0000       3.0000         10.2703        331.9061       99.8011        98.9691        177.2985       105.4076       263.9898       
700.0000       4.0000         10.2117        338.9492       103.0169       99.8885        181.7862       106.6922       267.7776       
700.0000       5.0000         10.1623        345.9185       106.2407       100.7918       186.2548       107.9508       271.4938       
700.0000       6.0000         10.1079        352.8075       109.4706       101.6777       190.7006       109.1818       275.1345       
700.0000       7.0000         10.0530        359.6188       112.7072       102.5467       195.1251       110.3861       278.7021       
700.0000       8.0000         10.0007        366.3543       115.9510       103.3994       199.5292       111.5643       282.1984       
700.0000       9.0000         9.9522         373.0148       119.2023       104.2358       203.9133       112.7167       285.6246       
700.0000       10.0000        9.9020         379.5980       122.4602       105.0555       208.2761       113.8428       288.9795       
