Output data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
400.0000       9.9101         7.0000         1.7557         281.5046       114.9372       102.0449       224.6050       98.4122        268.1603       91.7301        85.0833        94.3491        156.1176       154.6286       155.3731       84.8242        83.2905        84.0573        215.4517       211.8363       213.6445       0.2708         0.5410         10.0242        0.0091         0.1017         12.3423        9.4073         337.5369       
400.0000       9.8463         8.0000         1.7671         288.2953       119.7134       107.4525       230.6144       104.3396       276.2633       92.7318        85.8723        96.0721        162.0205       160.5186       161.2695       85.8464        84.2581        85.0523        218.8812       215.1325       217.0075       0.2757         0.5274         9.7289         0.0093         0.1036         12.4675        9.5532         339.3656       
400.0000       9.7825         9.0000         1.7786         295.0850       124.4889       112.8587       236.6218       110.2653       284.3628       93.7330        86.6604        97.7946        167.9217       166.4004       167.1611       86.8681        85.2221        86.0451        222.2755       218.3845       220.3307       0.2803         0.5147         9.4568         0.0096         0.1057         12.5892        9.6946         341.1629       
400.0000       9.7187         10.0000        1.7903         301.8738       129.2635       118.2633       242.6273       116.1891       292.4590       94.7336        87.4476        99.5166        173.8213       172.2744       173.0478       87.8892        86.1827        87.0359        225.6378       221.5960       223.6177       0.2846         0.5030         9.2053         0.0098         0.1080         12.7075        9.8316         342.9299       
500.0000       10.4755        0.0000         1.6609         222.1705       74.5169        53.0622        167.2421       43.8980        186.1546       80.1671        72.6560        77.6968        102.0579       99.7182        100.8881       73.0433        71.7424        72.3928        176.9220       173.5958       175.2591       0.2105         0.7176         13.6075        0.0090         0.1141         10.9021        7.7937         313.9623       
500.0000       10.3934        1.0000         1.6741         230.7043       80.3852        60.3073        175.7470       51.9784        198.4854       81.9184        74.6394        80.1255        110.0310       107.9359       108.9834       74.8210        73.5196        74.1703        182.9862       179.7476       181.3669       0.2226         0.6806         12.8333        0.0088         0.1079         11.1434        8.0685         317.8039       
500.0000       10.3114        2.0000         1.6874         239.2332       86.2496        67.5452        184.2424       60.0503        210.7998       83.6669        76.6183        82.5516        117.9962       116.1043       117.0502       76.5961        75.2804        75.9382        188.9115       185.7051       187.3083       0.2333         0.6488         12.1790        0.0087         0.1037         11.3743        8.3288         321.5310       
500.0000       10.2295        3.0000         1.7009         247.7571       92.1100        74.7763        192.7286       68.1138        223.0984       85.4127        78.5927        84.9754        125.9538       124.2263       125.0901       78.3684        77.0273        77.6978        194.7203       191.5013       193.1109       0.2427         0.6211         11.6200        0.0086         0.1010         11.5954        8.5758         325.1536       
500.0000       10.1477        4.0000         1.7146         256.2764       97.9667        82.0007        201.2059       76.1692        235.3816       87.1560        80.5629        87.3968        133.9041       132.3044       133.1043       80.1383        78.7619        79.4501        200.4306       197.1617       198.7963       0.2511         0.5969         11.1381        0.0087         0.0995         11.8074        8.8108         328.6801       
500.0000       10.0660        5.0000         1.7285         264.7911       103.8197       89.2186        209.6745       84.2168        247.6498       88.8966        82.5290        89.8159        141.8473       140.3411       141.0942       81.9057        80.4857        81.1957        206.0565       202.7064       204.3818       0.2586         0.5755         10.7194        0.0087         0.0989         12.0108        9.0348         332.1172       
500.0000       10.0006        6.0000         1.7398         271.6774       108.6766       94.7718        215.8779       90.3214        256.0904       89.9552        83.4124        91.5885        147.9095       146.4159       147.1627       82.9830        81.5164        82.2497        209.7272       206.2692       207.9986       0.2644         0.5589         10.3588        0.0089         0.1002         12.1499        9.1970         334.1366       
500.0000       9.9353         7.0000         1.7512         278.5618       113.5317       100.3220       222.0773       96.4224        264.5240       91.0126        84.2938        93.3602        153.9684       152.4787       153.2235       84.0591        82.5421        83.3006        213.3510       209.7738       211.5629       0.2699         0.5437         10.0298        0.0091         0.1017         12.2848        9.3538         336.1177       
500.0000       9.8700         8.0000         1.7628         285.4442       118.3852       105.8693       228.2727       102.5196       272.9506       92.0689        85.1733        95.1308        160.0240       158.5300       159.2770       85.1342        83.5634        84.3488        216.9325       213.2254       215.0795       0.2749         0.5296         9.7286         0.0093         0.1034         12.4158        9.5054         338.0622       
500.0000       9.8048         9.0000         1.7746         292.3247       123.2371       111.4136       234.4642       108.6134       281.3705       93.1240        86.0509        96.9004        166.0764       164.5701       165.3232       86.2081        84.5803        85.3942        220.4756       216.6290       218.5529       0.2797         0.5165         9.4519         0.0095         0.1054         12.5429        9.6521         339.9716       
500.0000       9.7395         10.0000        1.7864         299.2033       128.0874       116.9549       240.6518       114.7035       289.7836       94.1779        86.9265        98.6691        172.1256       170.5993       171.3625       87.2809        85.5931        86.4370        223.9837       219.9885       221.9869       0.2841         0.5044         9.1971         0.0098         0.1075         12.6664        9.7941         341.8473       
600.0000       10.5126        0.0000         1.6551         218.4373       72.4812        50.2278        163.2257       40.5592        179.9533       79.0142        71.1576        76.3155        98.6837        96.1547        97.4192        71.8540        70.5381        71.1960        173.4615       170.0355       171.7488       0.2062         0.7308         13.8026        0.0092         0.1196         10.7804        7.6721         311.3943       
600.0000       10.4288        1.0000         1.6684         227.0918       78.4456        57.6420        171.9572       48.8449        192.6743       80.8318        73.2488        78.8039        106.8431       104.6031       105.7231       73.6963        72.3895        73.0429        179.7587       176.4623       178.1105       0.2192         0.6909         12.9709        0.0089         0.1117         11.0337        7.9605         315.4379       
600.0000       10.3450        2.0000         1.6819         235.7387       84.4039        65.0456        180.6745       57.1178        205.3709       82.6452        75.3333        81.2887        114.9910       112.9919       113.9914       75.5345        74.2208        74.8777        185.8995       182.6665       184.2830       0.2306         0.6569         12.2749        0.0088         0.1062         11.2755        8.2326         319.3519       
600.0000       10.2614        3.0000         1.6956         244.3784       90.3564        72.4389        189.3781       65.3782        218.0439       84.4546        77.4112        83.7698        123.1275       121.3247       122.2261       77.3689        76.0350        76.7019        191.9102       188.6876       190.2989       0.2405         0.6275         11.6853        0.0087         0.1026         11.5065        8.4903         323.1485       
600.0000       10.1778        4.0000         1.7095         253.0110       96.3033        79.8222        198.0683       73.6265        230.6938       86.2601        79.4827        86.2473        131.2530       129.6047       130.4289       79.1994        77.8342        78.5168        197.8112       194.5557       196.1836       0.2493         0.6020         11.1808        0.0087         0.1004         11.7275        8.7348         326.8377       
600.0000       10.0944        5.0000         1.7236         261.6368       102.2447       87.1959        206.7455       81.8630        243.3213       88.0618        81.5480        88.7215        139.3679       137.8350       138.6014       81.0263        79.6203        80.3233        203.6186       200.2943       201.9567       0.2571         0.5795         10.7454        0.0088         0.0994         11.9393        8.9673         330.4276       
600.0000       10.0275        6.0000         1.7351         268.6173       107.1810       92.8928        213.1403       88.1424        252.0949       89.1764        82.5244        90.5431        145.5872       144.0799       144.8335       82.1579        80.7066        81.4322        207.4507       204.0248       205.7382       0.2632         0.5622         10.3740        0.0089         0.1004         12.0849        9.1362         332.5738       
600.0000       9.9607         7.0000         1.7468         275.5949       112.1148       98.5851        219.5290       94.4162        260.8579       90.2893        83.4979        92.3632        151.8016       150.3093       151.0554       83.2878        81.7872        82.5375        211.2318       207.6915       209.4621       0.2689         0.5464         10.0366        0.0091         0.1017         12.2261        9.2993         334.6772       
600.0000       9.8939         8.0000         1.7586         282.5695       117.0461       104.2729       225.9117       100.6846       269.6106       91.4004        84.4685        94.1818        158.0110       156.5238       157.2674       84.4160        82.8625        83.6392        214.9667       211.3005       213.1342       0.2741         0.5318         9.7289         0.0093         0.1032         12.3630        9.4567         336.7398       
600.0000       9.8272         9.0000         1.7705         289.5413       121.9750       109.9564       232.2886       106.9477       278.3531       92.5099        85.4362        95.9989        164.2157       162.7239       163.4698       85.5426        83.9327        84.7376        218.6599       214.8571       216.7592       0.2790         0.5184         9.4475         0.0095         0.1051         12.4957        9.6088         338.7634       
600.0000       9.7605         10.0000        1.7826         296.5103       126.9014       115.6355       238.6597       113.2054       287.0856       93.6176        86.4011        97.8144        170.4156       168.9098       169.6627       86.6675        84.9982        85.8328        222.3152       218.3661       220.3414       0.2835         0.5059         9.1892         0.0097         0.1071         12.6245        9.7559         340.7497       
700.0000       10.5500        0.0000         1.6492         214.6887       70.4371        47.3817        159.1927       37.2067        173.7262       77.8565        69.6529        74.9284        95.2954        92.5587        93.9271        70.6597        69.3236        69.9917        169.9695       166.4225       168.1967       0.2015         0.7452         14.0185        0.0095         0.1259         10.6555        7.5467         308.7776       
700.0000       10.4643        1.0000         1.6627         223.4639       76.4977        54.9655        168.1514       45.6982        186.8387       79.7405        71.8523        77.4768        103.6419       101.2424       102.4421       72.5668        71.2511        71.9089        176.5057       173.1372       174.8217       0.2156         0.7019         13.1222        0.0091         0.1160         10.9213        7.8493         313.0310       
700.0000       10.3787        2.0000         1.6764         232.2292       82.5503        62.5352        177.0912       54.1726        199.9186       81.6190        74.0427        80.0202        111.9728       109.8555       110.9142       74.4685        73.1541        73.8113        182.8664       179.5971       181.2318       0.2277         0.6655         12.3798        0.0089         0.1091         11.1744        8.1340         317.1382       
700.0000       10.2933        3.0000         1.6903         240.9848       88.5951        70.0913        186.0128       62.6305        212.9671       83.4922        76.2244        82.5588        120.2887       118.4024       119.3456       76.3649        75.0365        75.7007        189.0821       185.8494       187.4657       0.2382         0.6343         11.7566        0.0088         0.1044         11.4157        8.4027         321.1139       
700.0000       10.2081        4.0000         1.7044         249.7310       94.6325        77.6341        194.9166       71.0723        225.9849       85.3601        78.3976        85.0928        128.5900       126.8871       127.7386       78.2563        76.9011        77.5787        195.1761       191.9297       193.5530       0.2475         0.6073         11.2276        0.0087         0.1015         11.6461        8.6570         324.9700       
700.0000       10.1229        5.0000         1.7188         258.4681       100.6625       85.1640        203.8031       79.4985        238.9730       87.2231        80.5626        87.6222        136.8771       135.3133       136.0952       80.1428        78.7500        79.4464        201.1668       197.8654       199.5164       0.2557         0.5838         10.7741        0.0088         0.1000         11.8664        8.8984         328.7162       
700.0000       10.0546        6.0000         1.7305         265.5431       105.6785       91.0050        210.3899       85.9533        248.0809       88.3940        81.6324        89.4929        143.2542       141.7302       142.4922       81.3290        79.8924        80.6107        205.1618       201.7658       203.4642       0.2620         0.5657         10.3910        0.0089         0.1007         12.0189        9.0743         330.9918       
