The SAM model uses the reference state from MgSiO3.dat at T = 300.000000     K
Reference data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
300.0000       10.4021        0.0000         1.0000         229.5300       78.5300        58.6500        175.1600       50.4800        198.3800       82.4400        75.6100        80.4200        107.7023       74.7456        182.1089       318.9209       
300.0000       10.0100        5.0000         1.0000         271.0000       106.9200       93.2000        215.4400       88.8500        256.1700       90.5400        84.4600        91.9700        145.9952       82.9117        209.1438       335.4032       
300.0000       9.6982         10.0000        1.0000         304.5000       130.4200       119.5500       244.5700       117.6500       295.0900       95.2800        87.9600        100.3500       174.7051       87.6248        225.2206       343.9890       
The SAM model parameters are as follows:
V: b0 is 0.00336220 (ang$^3/atom)     b1 is -0.08623644 (ang^3/atom/GPa)     RMSE is 0.00881861 (ang^3/atom)
C11: b0 is -0.190479 (GPa)     b1 is 8.655314     RMSE is 0.215246 (GPa)
C12: b0 is -0.174686 (GPa)     b1 is 4.719688     RMSE is 0.335648 (GPa)
C13: b0 is -0.326424 (GPa)     b1 is 6.571585     RMSE is 0.577856 (GPa)
C22: b0 is -0.431837 (GPa)     b1 is 9.311977     RMSE is 0.668243 (GPa)
C23: b0 is -0.398568 (GPa)     b1 is 7.740900     RMSE is 0.770294 (GPa)
C33: b0 is -0.761491 (GPa)     b1 is 14.377861     RMSE is 1.146501 (GPa)
C44: b0 is -0.126848 (GPa)     b1 is 2.673053     RMSE is 0.150561 (GPa)
C55: b0 is -0.215697 (GPa)     b1 is 3.474104     RMSE is 0.254464 (GPa)
C66: b0 is -0.106035 (GPa)     b1 is 3.202637     RMSE is 0.123131 (GPa)
B: b0 is -0.394676 (GPa)     b1 is 8.149268     RMSE is 0.670872 (GPa)
G: b0 is -0.131439 (GPa)     b1 is 2.818783     RMSE is 0.158436 (GPa)
E: b0 is -0.473103 (GPa)     b1 is 8.621196     RMSE is 0.740907 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       B(GPa)         G(GPa)         E(GPa)         
600.0000       4.0000         10.1778        253.0110       96.3033        79.8222        198.0683       73.6265        230.6938       86.2601        79.4827        86.2473        130.2664       78.4621        195.4723       
600.0000       5.0000         10.0944        261.6368       102.2447       87.1959        206.7455       81.8630        243.3213       88.0618        81.5480        88.7215        138.4882       80.2842        201.5398       
600.0000       6.0000         10.0275        268.6173       107.1810       92.8928        213.1403       88.1424        252.0949       89.1764        82.5244        90.5431        144.7476       81.3999        205.3679       
600.0000       7.0000         9.9607         275.5949       112.1148       98.5851        219.5290       94.4162        260.8579       90.2893        83.4979        92.3632        151.0015       82.5136        209.1895       
600.0000       8.0000         9.8939         282.5695       117.0461       104.2729       225.9117       100.6846       269.6106       91.4004        84.4685        94.1818        157.2500       83.6256        213.0047       
600.0000       9.0000         9.8272         289.5413       121.9750       109.9564       232.2886       106.9477       278.3531       92.5099        85.4362        95.9989        163.4932       84.7358        216.8136       
600.0000       10.0000        9.7605         296.5103       126.9014       115.6355       238.6597       113.2054       287.0856       93.6176        86.4011        97.8144        169.7311       85.8442        220.6163       
700.0000       0.0000         10.5500        214.6887       70.4371        47.3817        159.1927       37.2067        173.7262       77.8565        69.6529        74.9284        93.7287        69.9122        167.3261       
700.0000       1.0000         10.4643        223.4639       76.4977        54.9655        168.1514       45.6982        186.8387       79.7405        71.8523        77.4768        102.2057       71.8199        173.6931       
700.0000       2.0000         10.3787        232.2292       82.5503        62.5352        177.0912       54.1726        199.9186       81.6190        74.0427        80.0202        110.6656       73.7219        180.0401       
700.0000       3.0000         10.2933        240.9848       88.5951        70.0913        186.0128       62.6305        212.9671       83.4922        76.2244        82.5588        119.1089       75.6183        186.3676       
700.0000       4.0000         10.2081        249.7310       94.6325        77.6341        194.9166       71.0723        225.9849       85.3601        78.3976        85.0928        127.5361       77.5093        192.6762       
700.0000       5.0000         10.1229        258.4681       100.6625       85.1640        203.8031       79.4985        238.9730       87.2231        80.5626        87.6222        135.9477       79.3950        198.9664       
700.0000       6.0000         10.0546        265.5431       105.6785       91.0050        210.3899       85.9533        248.0809       88.3940        81.6324        89.4929        142.3818       80.5691        203.0016       
700.0000       7.0000         9.9862         272.6141       110.6912       96.8400        216.9687       92.4007        257.1747       89.5626        82.6983        91.3616        148.8087       81.7407        207.0281       
700.0000       8.0000         9.9180         279.6813       115.7006       102.6691       223.5395       98.8409        266.2548       90.7288        83.7603        93.2283        155.2283       82.9099        211.0460       
700.0000       9.0000         9.8498         286.7447       120.7068       108.4923       230.1026       105.2740       275.3214       91.8928        84.8186        95.0930        161.6409       84.0767        215.0556       
700.0000       10.0000        9.7816         293.8043       125.7098       114.3097       236.6580       111.7001       284.3746       93.0546        85.8731        96.9557        168.0465       85.2412        219.0569       
800.0000       0.0000         10.5874        210.9304       68.3878        44.5282        155.1493       33.8454        167.4831       76.6958        68.1444        73.5378        90.1902        68.6883        163.5826       
800.0000       1.0000         10.4999        219.8265       74.5447        52.2819        164.3355       42.5431        180.9876       78.6464        70.4522        76.1462        98.8735        70.6652        170.1918       
800.0000       2.0000         10.4126        228.7102       80.6916        60.0180        173.4983       51.2196        194.4516       80.5901        72.7487        78.7484        107.5355       72.6349        176.7760       
800.0000       3.0000         10.3254        237.5819       86.8289        67.7371        182.6382       59.8753        207.8763       82.5271        75.0343        81.3446        116.1768       74.5977        183.3359       
800.0000       4.0000         10.2384        246.4418       92.9569        75.4397        191.7560       68.5110        221.2628       84.4577        77.3094        83.9350        124.7981       76.5538        189.8723       
